longitude,latitude
87.90343475,22.04205894
87.9595108,22.09576988
87.96591949,22.11930466
87.95777893,22.09264565
87.97727966,22.14083672
87.9585495,22.08496284
87.97732544,22.14077377
87.95962524,22.09498978
87.97790527,22.14186668
87.98174286,22.18819427
87.90895844,22.04493141
87.98092651,22.18593597
87.91342926,22.05047226
87.98071289,22.18579102
87.90866852,22.04369164
87.98090363,22.18612862
87.90474701,22.04039574
87.98621368,22.02941322
88.41457367,22.63327217
88.0109024,22.00324631
88.08345795,22.13591957
88.01089478,22.00323677
88.01084137,22.00312805
88.11048889,22.1207428
88.11158752,22.12022209
87.97898102,22.00259209
87.97546387,22.00390434
88.14123535,22.08075333
88.14121246,22.08045578
88.14157104,22.08003235
88.14169312,22.0803566
87.75936127,21.88524055
87.76840973,21.90155792
88.04157257,22.08948898
88.04175568,22.08949089
88.04166412,22.08937263
88.0417099,22.08931351
88.04205322,22.08912468
88.04198456,22.08908272
88.04208374,22.08881378
88.04188538,22.08841515
88.0410614,22.08937263
88.04090118,22.08927345
88.04046631,22.08863449
88.04037476,22.08874702
88.04037476,22.08866119
88.04059601,22.09000206
87.75993347,22.09818459
87.75955963,22.09826088
87.75216675,22.09664726
87.75229645,22.09663773
88.49047089,22.62521362
87.78055573,22.05454063
87.77989197,22.05755615
87.77973938,22.05759811
87.77963257,22.05782318
87.7798996,22.05751419
88.33786774,22.77376556
88.33913422,22.77362633
87.74822998,21.78748512
87.97267914,22.01243782
88.4272995,22.64338493
88.4272995,22.64343643
87.85309601,22.13161278
87.85820007,22.13370132
88.42552185,22.63967705
88.42520905,22.63949013
87.8888092,22.13338661
87.88877869,22.13332939
87.883255,22.12745857
87.87640381,22.11683273
87.85671234,22.08946228
0,0
87.82875061,21.96165085
87.85243225,21.95131874
87.85875702,21.95066834
87.85896301,21.95056343
87.85913849,21.95046234
87.98820496,22.19244385
87.85919189,21.95046806
87.98581696,22.18900871
87.91342926,21.92473984
0,0
87.98571777,22.1884861
87.92834473,21.91846657
88.45472717,22.6141777
87.92835999,21.91848755
88.04875183,22.20241928
88.09389496,22.15113258
87.97311401,22.01229286
88.10041809,22.16056824
88.10051727,22.16057777
88.10829163,22.17225647
88.10827637,22.17229843
88.10823822,22.17178345
87.97288513,22.00865555
88.11748505,22.18596077
87.97340393,22.01151848
88.11819458,22.18702316
88.11914063,22.18697929
88.11932373,22.18689728
88.1199646,22.18684578
87.81513214,22.32382202
87.81539917,22.32360458
88.48511505,22.57877159
88.48921967,22.58402824
88.48908234,22.58397865
88.48955536,22.58432007
88.48926544,22.58439827
87.8922348,22.26914787
88.48810577,22.57576561
87.75966644,22.09831238
87.84213257,22.25487709
87.84189606,22.2552433
87.84254456,22.25555801
87.82192993,22.02451324
87.82244873,22.02478218
87.81996918,22.0211525
88.43636322,22.64952469
87.78850555,22.24537086
87.78827667,22.24510765
88.43738556,22.65167618
87.77724457,22.25085258
87.77713013,22.25055122
87.75744629,22.25003815
87.75298309,22.24985695
87.74243164,22.2489605
87.9691391,21.91816711
87.74245453,22.24894905
87.73836517,22.24835396
87.73835754,22.24820137
88.43086243,22.65568542
88.42037964,22.64956474
88.41537476,22.63917923
88.4258194,22.63983727
88.42546844,22.63962746
88.42579651,22.63981819
88.42546082,22.6396389
88.4256897,22.63973236
88.42556763,22.63970375
88.43798828,22.65255928
88.43772888,22.65302086
87.76119995,21.79119492
0,0
87.98123932,22.18597031
87.76120758,21.79117966
87.76159668,21.79129982
87.76170349,21.79154968
87.77557373,21.79587173
87.77630615,21.7960453
87.78755188,21.80615997
87.9857254,22.18870735
87.80773163,21.80329514
87.80773926,21.80329132
87.80951691,21.80356407
87.81034088,21.80377579
87.81414032,21.80502701
87.81437683,21.80506516
87.82165527,21.80742264
88.40792847,22.63810539
88.02291107,22.15476036
88.02945709,22.15006256
87.83435059,21.81241226
87.83434296,21.81240463
87.83428192,21.81233788
87.87507629,21.85795593
88.42723084,22.63996124
87.87895966,21.79541016
88.42720795,22.6380806
87.8625946,21.75881767
87.98595428,22.18785286
88.42430878,22.63454056
88.42440796,22.63448715
87.80997467,21.80367851
88.50721741,22.62481308
88.50721741,22.62481308
87.90245819,22.2095089
87.90284729,22.2089119
88.45596313,22.62242508
88.45595551,22.62242126
88.44792175,22.63013649
88.44246674,22.62509727
87.92380524,22.19876671
87.92398834,22.1991539
87.92394257,22.19940758
87.92620087,22.24665833
87.92629242,22.24729729
87.92651367,22.25066757
87.9265976,22.25059319
87.92271423,22.19580078
88.47769928,22.58481789
88.48815918,22.57560921
87.87229156,22.31250381
88.5338974,22.55312157
88.54404449,22.55997086
88.54392242,22.56004524
88.56773376,22.58224678
88.56787109,22.58240509
88.56784821,22.5823555
88.56772614,22.58224297
88.53166199,22.54999352
87.67778778,21.76424789
88.51780701,22.5582943
88.5011673,22.56733513
88.50026703,22.56357956
88.47123718,22.58701706
88.471138,22.58700562
88.4712677,22.58699036
88.47064209,22.58571243
88.47066498,22.58568573
88.48504639,22.57887268
87.7329483,21.77543068
87.73461914,21.77683067
87.73429108,21.77636909
87.73419952,21.77633476
87.73428345,21.78234482
87.7350235,21.78210831
87.8155899,22.00693893
87.81559753,22.00694466
87.81560516,22.00694656
88.42462921,22.63976288
88.42464447,22.63986397
88.42464447,22.63981438
88.42462921,22.63975334
0,0
88.4243927,22.63990211
88.42462921,22.63975906
88.42462921,22.63974571
88.42279816,22.64355659
88.42279816,22.64355659
88.42279053,22.64355469
88.42417908,22.64810371
88.42396545,22.64769554
88.42396545,22.64769554
88.42396545,22.64769554
88.42396545,22.64769554
88.42462158,22.6397438
88.42461395,22.63973999
88.49723053,22.62068558
88.49729156,22.62071419
88.42463684,22.63993454
88.42462158,22.63987541
88.43216705,22.63501358
88.42920685,22.63163757
88.42916107,22.63167572
88.42925262,22.63153648
87.69915771,21.85150337
88.62878418,22.82671738
88.74087524,22.79068375
88.74115753,22.78925896
88.7371521,22.80528259
88.71576691,22.8124733
88.41428375,22.63736534
88.41428375,22.63736534
88.57000732,22.58549881
87.76732636,21.7788887
87.64658356,22.08049393
87.64757538,22.08081436
87.65486145,22.08205986
87.66377258,22.08270454
87.66539764,22.08286095
87.67444611,22.08379173
87.67553711,22.0838089
87.6815033,22.08485413
87.68964386,22.08489609
87.68960571,22.08491707
87.71044922,22.07985306
87.71121979,22.07993889
87.59966278,22.05825806
87.60732269,22.07461357
87.60820007,22.07505608
87.89141083,22.26856613
87.89254761,22.27027321
87.89266968,22.270298
87.89257813,22.27034569
88.48885345,22.69406509
88.48845673,22.69406128
88.48848724,22.69410133
88.51525116,22.6917057
88.51570892,22.69211578
88.52193451,22.67323494
88.52193451,22.67323494
88.52445984,22.67352867
88.52458191,22.67358589
88.53856659,22.65705872
88.53851318,22.65715027
88.53852081,22.65712547
88.5499649,22.64840508
88.54998016,22.64840508
88.53908539,22.65623283
88.5394516,22.65615082
87.80915833,21.80382347
88.53907776,22.65620804
88.53939056,22.65653038
88.52767944,22.67626572
88.52797699,22.67589569
88.52752686,22.67597008
88.52736664,22.68501282
88.50997925,22.69550705
88.48882294,22.62720108
88.48878479,22.62718201
87.83855438,21.78783798
87.82194519,22.02450752
87.82129669,22.02493858
87.82146454,22.02489471
87.81969452,22.02512169
88.41408539,22.63668442
87.82667542,22.03013992
87.94447327,22.19037819
87.93886566,22.19355583
87.9517746,22.15819359
87.90719604,22.04196167
87.90341187,22.0422802
87.95877075,22.09514427
87.95938873,22.09580994
87.95940399,22.09572411
87.95940399,22.09572411
87.97720337,22.14053345
87.97732544,22.1407814
87.97728729,22.14083862
87.95960236,22.09557724
87.99195862,22.18641281
87.9916153,22.1866951
87.93788147,22.19389534
87.90372467,22.0414505
87.90799713,22.04379463
87.98644257,22.02949333
88.08293152,22.13589668
88.00327301,22.0311451
88.0032196,22.0304203
87.99667358,22.00781441
87.99665833,22.00753784
87.99673462,22.00694466
87.99679565,22.00728989
87.99717712,22.0070858
87.99744415,22.00701141
88.01148224,22.00273705
88.01073456,22.00303268
88.01089478,22.00319481
88.08242035,22.13599586
88.01088715,22.0031929
88.08346558,22.13595581
88.08344269,22.1359539
88.0834198,22.13590622
88.11044312,22.12062073
88.13606262,22.08939171
87.97898102,22.00271988
87.97919464,22.00224495
87.97919464,22.00224495
87.7485199,21.78739548
87.75188446,21.83137894
87.75749207,21.85586166
88.41468048,22.6392498
87.75522614,21.85701752
88.0823822,22.13608551
87.7554245,21.85828972
87.75606537,21.86293983
87.75643921,21.86290169
87.75659943,21.8637619
87.75841522,21.8794632
87.75899506,21.88187027
87.75894928,21.88181877
87.7587738,21.8810482
87.75876617,21.8809967
87.75869751,21.88109779
87.75853729,21.87973022
88.14162445,22.08119392
87.78666687,21.91248322
87.78648376,21.91255188
87.80335236,21.96825409
87.71129608,21.77122116
87.71102142,21.77108002
87.70160675,21.76932144
87.69457245,21.76812363
87.69442749,21.76795387
87.6829834,21.76498795
87.67205811,21.76228142
88.08223724,22.13608933
87.97275543,22.01262283
88.42584229,22.6397953
88.0013504,21.96467209
88.01065063,22.00253677
87.97902679,22.00308228
88.04131317,22.08876038
88.04065704,22.08999825
88.04056549,22.08996964
88.51574707,22.69212914
87.81439209,22.02648163
87.81121063,22.0278759
87.78804779,22.03835106
87.77849579,22.04660988
87.77861023,22.04660034
87.77832794,22.04639053
87.77844238,22.05972481
87.76000977,22.0983429
87.75992584,22.09816551
87.78003693,22.05760384
87.77952576,22.05782509
87.82148743,22.02492523
88.33686829,22.77542305
88.3368454,22.77541542
88.33685303,22.77538872
88.33704376,22.77415657
88.33783722,22.7737484
88.33926392,22.77366257
88.3397522,22.77377892
88.34471893,22.77231216
88.37063599,22.76049995
88.37128448,22.76037598
87.73304749,21.77538109
87.74836731,21.78741264
87.74843597,21.78747749
87.97517395,22.00158119
87.97511292,22.00144196
87.97574615,21.99772263
87.97543335,21.99124336
87.97113037,21.98125839
87.97008514,21.97833824
87.96448517,21.9644661
87.96456909,21.96448135
87.96447754,21.96337128
87.95629883,21.93868065
87.95214844,21.93931007
87.95245361,21.93915558
87.95320892,21.936409
87.95555878,21.93714714
87.97840881,21.91119194
87.97869873,21.9109726
87.99900818,21.97566986
88.42449951,22.63896942
87.87321472,22.11268234
88.41424561,22.63737679
88.42731476,22.64328003
88.42037201,22.64232063
88.42028046,22.642313
88.42038727,22.64232636
88.42526245,22.63445854
88.4306488,22.64209175
88.42832184,22.64090919
87.88197327,22.12565422
87.88227844,22.12555313
88.42591095,22.63986015
87.88887787,22.13260841
87.88899231,22.13328552
87.87651825,22.11704063
87.97373962,22.01210976
0,0
87.89122009,22.26938438
87.89122009,22.26931381
87.89103699,22.26586533
87.84220886,22.25540352
87.78012848,22.05708694
87.75280762,22.11255455
87.75154877,22.10093498
87.75300598,22.09748077
87.75311279,22.09732628
87.7534256,22.09707069
87.9058609,22.11200523
87.9058609,22.11213493
87.88069153,22.08738327
87.88791656,22.07821655
87.85675049,22.09144783
87.85579681,22.11199379
87.83131409,22.12911415
87.83126831,22.12910843
87.85250854,22.13105011
87.85249329,22.13098526
87.85292053,22.13092804
87.86683655,22.13286972
87.91829681,22.18714142
87.91142273,22.1749382
87.95314026,21.93644333
87.97859955,21.91116333
88.00067902,21.95486641
87.99915314,21.96415901
87.98883057,21.99091721
87.92393494,22.1991806
87.92352295,22.19927025
87.82343292,22.12931824
87.85323334,22.13072395
87.8729248,22.31098366
87.87232971,22.3121357
87.87242889,22.31212235
87.9184494,22.18709373
88.54995728,22.6484127
88.53579712,22.66000748
87.98831177,21.99041939
87.82809448,21.96187401
87.92828369,21.91829681
87.92825317,21.91814232
87.92819214,21.91803932
87.92835999,21.91849327
87.91178131,21.92814255
87.91177368,21.92806625
87.90729523,21.93593407
87.90731049,21.93588257
87.90719604,21.93595314
87.88353729,21.94108582
87.88362122,21.94116783
87.88334656,21.94123459
87.8821106,21.94150734
87.86489105,21.94794655
87.85923004,21.95047951
88.02789307,22.19581604
88.0334549,22.19641113
88.05664063,22.19707489
88.09389496,22.15113258
88.09444427,22.15162849
88.11917877,22.18698883
87.87273407,22.31112671
87.86460876,22.31487274
87.8642807,22.31513023
87.89163971,22.1363678
88.43758392,22.6519413
87.84320068,22.31934166
87.86618042,22.13343239
87.85320282,22.13188362
87.81733704,22.32407379
87.81547546,22.3227787
87.97509003,22.00152588
87.91609955,22.18258476
0,0
87.92238617,22.19522285
88.42464447,22.63993835
88.4246521,22.63995171
88.45872498,22.58781052
88.48512268,22.57877922
88.48907471,22.58398628
88.48860168,22.5839653
88.48884583,22.58372307
87.7516098,22.09663582
87.8922348,22.26898193
88.4879303,22.57605743
88.48792267,22.57607269
87.89212036,22.26904297
88.48730469,22.57596779
87.89215851,22.2692337
88.44759369,22.60785294
87.78186035,22.24838829
88.43770599,22.65228271
87.8042984,21.80240631
88.04328918,22.14557838
87.83305359,21.79125404
88.50722504,22.62481117
88.50723267,22.62481499
88.4786911,22.63256645
88.47859955,22.63259315
87.90254974,22.20943642
88.45596313,22.62241364
88.44792175,22.63012695
88.44245911,22.62504005
88.42137909,22.63011551
87.92482758,22.20942116
87.92510986,22.21469307
88.42658997,22.6400032
88.54420471,22.56001663
88.5676651,22.58231735
88.56774902,22.58226204
88.56771851,22.58223915
87.70407867,21.76985931
88.56770325,22.58229828
87.67878723,21.76416016
87.67847443,21.76409721
87.6783371,21.76413345
87.78977203,21.74173737
88.48509216,22.57879448
87.73396301,21.77583694
88.4850769,22.57887459
87.73313141,21.77554321
87.73423004,21.77693939
87.73414612,21.77690125
87.81570435,22.00713921
87.81443787,22.00247955
87.81473541,22.00268936
87.80394745,21.96909332
87.80299377,21.96985435
88.4909668,22.60969734
88.08326721,22.1356926
88.42462158,22.63974762
88.42565918,22.6396637
88.42404175,22.64750099
87.99868774,21.96461105
88.42459869,22.63982201
88.42006683,22.64237785
88.41435242,22.63738823
88.4193573,22.62800407
88.42462921,22.6397438
88.42462921,22.6397419
88.42460632,22.63974571
88.42462158,22.63973999
88.42462158,22.63973999
87.87271881,22.11192703
87.85797119,22.09239197
87.98430634,22.00312042
87.97896576,22.00300407
88.50723267,22.62481689
87.9071579,21.93604279
87.83666992,21.95576859
87.83640289,21.95576859
88.43474579,22.6071949
88.42556763,22.63967133
88.42463684,22.63992691
88.42462921,22.63991356
88.42469788,22.6302681
87.73451233,21.84692764
87.69946289,21.85149574
87.78639221,21.91466522
87.75541687,21.85651588
87.97110748,21.9812088
88.41230774,22.63670349
88.41165161,22.63681412
88.74452972,22.85688019
88.74394989,22.85684586
88.74398041,22.85581589
88.73851776,22.82203293
88.63142395,22.84679985
88.63220215,22.84165382
88.51104736,22.74946404
88.50718689,22.62478828
88.41877747,22.62884712
88.53049469,22.54244614
87.77198029,21.78137589
87.78895569,21.78168488
87.77275848,21.78171349
87.63883209,22.08211899
87.6411438,22.08150291
87.65486908,22.08206177
87.7181015,22.07905388
87.81816864,22.0145855
87.81471252,22.00268173
87.59918213,22.0577755
87.60363007,22.06071472
87.60363007,22.06071472
87.60526276,22.06810951
88.54997253,22.64841461
88.5499649,22.64840889
88.54997253,22.64840317
88.54994965,22.64840126
88.54994202,22.64840698
88.54993439,22.64841652
88.4307785,22.64145088
88.42837524,22.6394043
88.41168976,22.63649178
87.6052475,22.06810951
87.82120514,21.96353149
88.48842621,22.69407654
88.53859711,22.65695953
88.53859711,22.65696144
88.54998016,22.64841652
88.54994202,22.64840317
88.46974945,22.69145393
88.47108459,22.69453049
88.47090912,22.69449425
88.44437408,22.6666317
88.43077087,22.64173508
88.57676697,22.70189095
87.80393982,21.96908569
88.3956604,22.62077141
88.41606903,22.63604546
88.53253174,22.70999908
88.42126465,22.63010406
88.4529953,22.62517357
87.8130722,21.80462837
87.83409882,21.81223869
87.85483551,21.82557487
87.70168304,21.7693615
87.64214325,21.76509285
